Names,isMale,isFemale
ΑΡΣΕΝΙΟΣ,1,0
ΑΡΣΙΛΝΤΑ,1,0
ΑΡΣΙΝ,1,0
ΑΡΤΑΚ,1,0
ΑΡΤΑΝ,1,0
ΑΡΤΕΜ,1,0
ΑΡΤΕΜΗΣ,1,0
ΑΡΤΕΜΙΟΣ,1,0
ΑΡΤΕΜΙΣ,1,0
ΑΡΤΙ,1,0
ΑΡΤΙΑΝ,1,0
ΑΡΤΙΝ,1,0
ΑΡΤΙΟΜ,1,0
ΑΡΤΝΤΕ,1,0
ΑΡΤΟΡΕΞ,1,0
ΑΡΤΟΥΡ,1,0
ΑΡΤΣΙΛ,1,0
ΑΡΧΑΓΓΕΛΟΣ,1,0
ΑΡΧΑΝ,1,0
ΑΡΧΕΛΑΟΣ,1,0
ΑΡΧΙΓΕΝΗΣ,1,0
ΑΡΧΙΛΑΟΣ,1,0
ΑΡΧΙΛΕΣ,1,0
ΑΡΧΙΜΗΔΗΣ,1,0
ΑΡΧΙΜΙΔΗΣ,1,0
ΑΡΧΙΠΠΟΣ,1,0
ΑΡΧΟΝΤΗΣ,1,0
ΑΡΧΟΝΤΟΥΛΑ,1,0
ΑΡΩΝ,1,0
ΑΣΗΜΑΚΗΣ,1,0
ΑΣΗΜΕΝΙΑ,1,0
ΑΣΗΜΗΣ,1,0
ΑΣΗΜΙΝΑ,1,0
ΑΣΗΜΟΥΛΑ,1,0
ΑΣΗΜΩΝΗΣ,1,0
ΑΣΗΟΤ,1,0
ΑΣΚΛΗΠΙΟΣ,1,0
ΑΣΛΑΝ,1,0
ΑΣΛΛΑΝ,1,0
ΑΣΜΠΙ,1,0
ΑΣΟΤ,1,0
ΑΣΠΑΣΙΑ,1,0
ΑΣΤΕΡΗΣ,1,0
ΑΣΤΕΡΙ,1,0
ΑΣΤΕΡΙΟ,1,0
ΑΣΤΕΡΙΟΣ,1,0
ΑΣΤΕΡΙΟΣΚΩΣΤΑΝΤΙΝΟΣ,1,0
ΑΣΤΕΡΙΟΣ-ΡΑΦΑΗΛ,1,0
ΑΣΤΡΙΝΟΣ,1,0
ΑΣΤΡΙΤ,1,0
ΑΣΤΡΟΣ,1,0
ΑΣΤΥΑΝΑΞ,1,0
ΑΤΑ,1,0
ΑΤΑΝΑΣ-ΜΠΙΣΕΡΟΒ,1,0
ΑΤΖΙΜ,1,0
ΑΤΝΑΝ,1,0
